rank,title,author,publication_year,primary_parent_category,likely_leaf_nodes,rating_source,average_rating,rating_count,reputation_evidence,why_include,source_urls,status,recommended_action,corpus_row,corpus_title,corpus_author,match_score,match_author_ok,corpus_source,canonical_isbn_13,already_annotated,annotation_count,notes
19,A Random Walk Down Wall Street,Burton G. Malkiel,1973,portfolio_construction_and_asset_allocation,price_formation_and_market_efficiency; passive_vs_active_portfolio_management; diversification; risk_return_tradeoff,Goodreads,4.14,41431,Large rating count; efficient-market/passive-investing classic,Core text for market efficiency and passive-versus-active reasoning,https://www.goodreads.com/book/show/900892.A_Random_Walk_Down_Wall_Street,already_annotated,Skip for now unless doing audit/review.,431,A Random Walk Down Wall Street,Burton Gordon Malkiel,1.000,yes,audit_must_include,9780393325355,yes,10,Existing annotations found in annotations_v1.csv.
20,The Little Book of Common Sense Investing,John C. Bogle,2007,portfolio_construction_and_asset_allocation,passive_vs_active_portfolio_management; diversification; portfolio_rebalancing; time_horizon_and_goal_based_investing,Goodreads,4.46,2584,Bogleheads-aligned classic; strong rating,"Needed for index investing, low-cost funds, and passive portfolio logic",https://www.goodreads.com/work/editions/165246-the-little-book-of-common-sense-investing-the-only-way-to-guarantee-you; https://www.bogleheads.org/wiki/Taylor_Larimore%27s_Investment_Gems,already_annotated,Skip for now unless doing audit/review.,432,The Little Book of Common Sense Investing,John C. Bogle,1.000,yes,audit_must_include,9781119404521,yes,8,Existing annotations found in annotations_v1.csv.
21,Common Sense on Mutual Funds,John C. Bogle,1999,portfolio_construction_and_asset_allocation,passive_vs_active_portfolio_management; diversification; portfolio_rebalancing; risk_return_tradeoff,Goodreads,not_verified,2410,Bogle mutual-fund classic; Bogleheads relevance,"Covers mutual funds, fees, active-management limitations, and indexing",https://www.goodreads.com/book/show/7081902-common-sense-on-mutual-funds; https://www.bogleheads.org/wiki/John_Bogle_biographical_information,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,448,Common Sense on Mutual Funds,John C. Bogle,1.000,yes,curated_top50,9780471392286,no,0,Matched in corpus but not annotated yet.
22,The Four Pillars of Investing,William J. Bernstein,2002,portfolio_construction_and_asset_allocation,asset_allocation; diversification; risk_return_tradeoff; cognitive_biases; time_horizon_and_goal_based_investing,Goodreads,4.24,6381,High reader validation; Bogleheads-adjacent recommendation,"Strong all-around portfolio framework combining theory, history, psychology, and allocation",https://www.goodreads.com/en/book/show/79351.The_Four_Pillars_of_Investing,already_annotated,Skip for now unless doing audit/review.,434,The Four Pillars of Investing,William J. Bernstein,1.000,yes,audit_must_include,9780071423472,yes,12,Existing annotations found in annotations_v1.csv.
23,All About Asset Allocation,Richard A. Ferri,2006,portfolio_construction_and_asset_allocation,asset_allocation; diversification; portfolio_rebalancing; risk_return_tradeoff,expert sources only,N/A,N/A,Bogleheads-style asset-allocation text by Rick Ferri,Useful focused source for allocation and rebalancing leaves,https://www.mheducation.com/highered/product/all-about-asset-allocation-second-edition-ferri/M9780071700788.html,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,449,All About Asset Allocation,Richard Ferri,1.000,yes,curated_top50,,no,0,Matched in corpus but not annotated yet.
24,Asset Allocation: Balancing Financial Risk,Roger C. Gibson,1989,portfolio_construction_and_asset_allocation,asset_allocation; diversification; risk_return_tradeoff; portfolio_rebalancing,expert sources only,N/A,N/A,Longstanding asset-allocation reference,Good for asset-class diversification and risk-balancing concepts,https://www.mheducation.com/highered/product/asset-allocation-balancing-financial-risk-fifth-edition-gibson/M9780071804189.html,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,450,Asset Allocation: Balancing Financial Risk,Roger C. Gibson,1.000,yes,curated_top50,9780071378017,no,0,Matched in corpus but not annotated yet.
25,Active Portfolio Management,Richard Grinold and Ronald Kahn,1999,portfolio_construction_and_asset_allocation,risk_return_tradeoff; passive_vs_active_portfolio_management; exposure_and_concentration_limits; strategy_design_and_rule_definition,expert sources only,N/A,N/A,Institutional active-management classic,"Important for alpha, benchmark risk, information ratio, and portfolio constraints",https://www.mheducation.com/highered/product/active-portfolio-management-grinold-kahn/M9780070248823.html,already_annotated,Skip for now unless doing audit/review.,114,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",1.000,yes,google_books,9780071376952,yes,14,Existing annotations found in annotations_v1.csv.
26,"Portfolio Management in Practice, CFA Institute",CFA Institute,2020,portfolio_construction_and_asset_allocation,asset_allocation; portfolio_rebalancing; risk_return_tradeoff; time_horizon_and_goal_based_investing,expert sources only,N/A,N/A,CFA Institute Investment Series; Wiley publication,Institutional portfolio-process anchor for structured annotation,https://www.wiley.com/en-gb/Portfolio%2BManagement%2Bin%2BPractice%2C%2BVolume%2B1%3A%2BInvestment%2BManagement-p-9781119743729,needs_backfill,"Backfill into corpus, then annotate with content evidence.",,,,,,,,no,0,No high-confidence corpus match found.
27,Fixed Income Analysis,Frank J. Fabozzi / CFA Institute,2000,market_foundations,asset_classes_and_financial_instruments; interest_rates_and_monetary_policy; risk_return_tradeoff; inflation_and_purchasing_power,Goodreads,4.40,5,CFA Institute Investment Series; specialist text,Needed because Atlas should not become equities-only; covers bonds and rates,https://www.wiley.com/en-be/Fixed%2BIncome%2BAnalysis%2C%2B5th%2BEdition-p-9781119850540; https://books.google.com/books/about/Fixed_Income_Analysis.html?id=ljEaBgAAQBAJ,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,451,Fixed Income Analysis,Frank J. Fabozzi,1.000,yes,curated_top50,9780470107843,no,0,Matched in corpus but not annotated yet.
28,The Bogleheads' Guide to Investing,Taylor Larimore Mel Lindauer and Michael LeBoeuf,2006,portfolio_construction_and_asset_allocation,asset_allocation; diversification; portfolio_rebalancing; passive_vs_active_portfolio_management; time_horizon_and_goal_based_investing,expert sources only,N/A,N/A,Bogleheads community reference; popular first-book recommendation,Good broad passive-investing and implementation bridge,https://www.bogleheads.org/wiki/Book_recommendations_and_reviews; https://www.amazon.com/Bogleheads-Guide-Investing-Taylor-Larimore/dp/0470067365,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,452,The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",1.000,yes,curated_top50,9781118922361,no,0,Matched in corpus but not annotated yet.
29,Stocks for the Long Run,Jeremy J. Siegel,1994,portfolio_construction_and_asset_allocation,risk_return_tradeoff; asset_allocation; inflation_and_purchasing_power; business_cycles_and_market_cycles,expert sources only,N/A,N/A,Longstanding historical equity-return reference,Covers long-run asset returns and stock/bond allocation context,https://www.mheducation.com/highered/product/stocks-long-run-siegel/M9781264269804.html,already_annotated,Skip for now unless doing audit/review.,145,"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,1.000,yes,google_books,9781264269815,yes,15,Existing annotations found in annotations_v1.csv.
30,Manias Panics and Crashes,Charles P. Kindleberger and Robert Aliber,1978,macro_cycles_and_economic_context,credit_debt_and_financial_crises; business_cycles_and_market_cycles; market_participants_and_incentives; loss_aversion_and_drawdown_psychology,Goodreads,3.94,4153,Classic financial-crisis history text,"Essential for bubbles, crashes, credit cycles, and crisis-pattern annotation",https://www.goodreads.com/en/book/show/367596.Manias_Panics_and_Crashes,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,453,"Manias, Panics, and Crashes","Robert Z. Aliber, Charles P. Kindleberger, Robert N. McCauley",1.000,yes,curated_top50,9783031160080,no,0,Matched in corpus but not annotated yet.
31,This Time Is Different,Carmen Reinhart and Kenneth Rogoff,2009,macro_cycles_and_economic_context,credit_debt_and_financial_crises; currency_and_global_macro_forces; economic_indicators_and_data_interpretation,Goodreads,3.76,6683,Major empirical financial-crisis text,"Adds sovereign debt, banking crises, currency crises, and long historical data",https://www.goodreads.com/book/show/6372440-this-time-is-different,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,454,This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff",1.000,yes,curated_top50,9780691152646,no,0,Matched in corpus but not annotated yet.
32,The Alchemy of Finance,George Soros,1987,macro_cycles_and_economic_context,business_cycles_and_market_cycles; currency_and_global_macro_forces; probabilistic_thinking_and_uncertainty; market_structure_and_regime_identification,Goodreads,3.75,4690,Macro investing classic by Soros,"Useful for reflexivity, macro regime shifts, and market feedback loops",https://www.goodreads.com/book/show/369708.The_Alchemy_of_Finance,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,455,The Alchemy of Finance,George Soros,1.000,yes,curated_top50,9780471445494,no,0,Matched in corpus but not annotated yet.
33,Principles for Dealing with the Changing World Order,Ray Dalio,2021,macro_cycles_and_economic_context,business_cycles_and_market_cycles; credit_debt_and_financial_crises; currency_and_global_macro_forces; inflation_and_purchasing_power,expert sources only,N/A,N/A,Popular macro-cycle framework by Bridgewater founder,"Useful for long-cycle, debt-cycle, reserve-currency, and geopolitical macro leaves",https://www.simonandschuster.com/books/Principles-for-Dealing-with-the-Changing-World-Order/Ray-Dalio/9781982160272,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,456,Principles for Dealing with the Changing World Order,Ray Dalio,1.000,yes,curated_top50,9781471196706,no,0,Matched in corpus but not annotated yet.
34,Lords of Finance,Liaquat Ahamed,2009,macro_cycles_and_economic_context,interest_rates_and_monetary_policy; credit_debt_and_financial_crises; currency_and_global_macro_forces,expert sources only,N/A,N/A,Pulitzer-winning financial history,"Adds central banking, gold standard, monetary policy, and crisis history",https://www.penguinrandomhouse.com/books/297323/lords-of-finance-by-liaquat-ahamed/,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,457,Lords of Finance,Liaquat Ahamed,1.000,yes,curated_top50,9781446494370,no,0,Matched in corpus but not annotated yet.
35,Thinking Fast and Slow,Daniel Kahneman,2011,trading_psychology_and_behavioral_finance,cognitive_biases; loss_aversion_and_drawdown_psychology; process_oriented_decision_making; probabilistic_thinking_and_uncertainty,Goodreads,4.17,602324,Massive reader validation; Nobel-linked behavioral decision science,"Core behavioral-finance foundation, even though not market-specific",https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,458,"Thinking, Fast and Slow",Daniel Kahneman,1.000,yes,curated_top50,9780141918921,no,0,Matched in corpus but not annotated yet.
36,The Psychology of Money,Morgan Housel,2020,trading_psychology_and_behavioral_finance,emotional_discipline; loss_aversion_and_drawdown_psychology; time_horizon_and_goal_based_investing; process_oriented_decision_making,Goodreads,4.28,342441,Very high reader validation,"Good accessible bridge for investor behavior, time horizon, and temperament",https://www.goodreads.com/book/show/41881472-the-psychology-of-money,already_annotated,Skip for now unless doing audit/review.,421,The Psychology of Money,Morgan Housel,1.000,yes,audit_must_include,9780857197696,yes,7,Existing annotations found in annotations_v1.csv.
37,Fooled by Randomness,Nassim Nicholas Taleb,2001,trading_psychology_and_behavioral_finance,probabilistic_thinking_and_uncertainty; cognitive_biases; risk_reward_and_expectancy; process_oriented_decision_making,Goodreads,4.08,72337,High rating count; randomness and uncertainty classic,"Strong for survivorship bias, luck, probability, and trader overconfidence",https://www.goodreads.com/book/show/38315.Fooled_by_Randomness,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,459,Fooled by Randomness,Nassim Nicholas Taleb,1.000,yes,curated_top50,9780141930237,no,0,Matched in corpus but not annotated yet.
38,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,1996,risk_management,probabilistic_thinking_and_uncertainty; risk_return_tradeoff; risk_reward_and_expectancy; cognitive_biases,expert sources only,N/A,N/A,Risk-history classic,"Excellent conceptual foundation for risk, probability, and uncertainty",https://www.penguinrandomhouse.com/books/12459/against-the-gods-by-peter-l-bernstein/,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,468,Against the Gods,Peter L. Bernstein,1.000,yes,curated_top50,9780471121046,no,0,Matched in corpus but not annotated yet.
39,Market Wizards,Jack D. Schwager,1989,trading_psychology_and_behavioral_finance,emotional_discipline; process_oriented_decision_making; risk_reward_and_expectancy; drawdown_management; trade_planning_and_preparation,Goodreads,4.28,10681,High rating count; trader-interview classic,"Useful for process, risk discipline, and varied trading styles without overfitting to one method",https://www.goodreads.com/book/show/30168787-market-wizards,already_annotated,Skip for now unless doing audit/review.,430,Market Wizards,Jack D. Schwager,1.000,yes,audit_must_include,,yes,9,Existing annotations found in annotations_v1.csv.
40,Trading in the Zone,Mark Douglas,2000,trading_psychology_and_behavioral_finance,emotional_discipline; overtrading_and_impulse_control; loss_aversion_and_drawdown_psychology; probabilistic_thinking_and_uncertainty,expert sources only,N/A,N/A,Widely recommended trading-psychology book,Covers emotional discipline and probabilistic execution mindset,https://www.penguinrandomhouse.com/books/288984/trading-in-the-zone-by-mark-douglas/,already_annotated,Skip for now unless doing audit/review.,422,Trading in the Zone,Mark Douglas,1.000,yes,audit_must_include,9781440625411,yes,5,Existing annotations found in annotations_v1.csv.
41,Technical Analysis of the Financial Markets,John J. Murphy,1999,technical_analysis_and_market_structure,trend_analysis; support_and_resistance; chart_patterns_and_price_action; momentum_and_technical_indicators; volume_analysis,Goodreads,4.21,4089,Technical-analysis reference; high specialist reputation,Core introductory technical-analysis coverage across many leaves,https://www.goodreads.com/book/show/212102; https://books.google.com/books/about/Technical_Analysis_of_the_Financial_Mark.html?id=teitAAAAQBAJ,already_annotated,Skip for now unless doing audit/review.,8,Technical Analysis of the Financial Markets,John J. Murphy,1.000,yes,google_books,9781101659199,yes,8,Existing annotations found in annotations_v1.csv.
42,Technical Analysis of Stock Trends,Robert D. Edwards and John Magee,1948,technical_analysis_and_market_structure,trend_analysis; support_and_resistance; chart_patterns_and_price_action; market_structure_and_regime_identification,Goodreads,4.16,747,Classic chart-pattern text; IFTA reading-list relevance,"Historical anchor for chart patterns, trend structure, and support/resistance",https://www.goodreads.com/book/show/474623.Technical_Analysis_of_Stock_Trends; https://www.oreilly.com/library/view/a-handbook-of/9781118498910/38_appendixb.html,already_annotated,Skip for now unless doing audit/review.,49,Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",1.000,yes,google_books,9781351631433,yes,14,Existing annotations found in annotations_v1.csv.
43,Japanese Candlestick Charting Techniques,Steve Nison,1991,technical_analysis_and_market_structure,chart_patterns_and_price_action; support_and_resistance; trend_analysis,Goodreads,4.31,2055,High specialist rating; candlestick-analysis standard,Needed for candlestick-specific price-action tagging,https://www.goodreads.com/book/show/20931958-japanese-candlestick-charting-techniques,ready_to_annotate,Open annotate.py with this corpus_row after checking content evidence.,460,Japanese Candlestick Charting Techniques,Steve Nison,1.000,yes,curated_top50,9781101659786,no,0,Matched in corpus but not annotated yet.
44,Technical Analysis: The Complete Resource for Financial Market Technicians,Charles D. Kirkpatrick II and Julie R. Dahlquist,2006,technical_analysis_and_market_structure,trend_analysis; momentum_and_technical_indicators; chart_patterns_and_price_action; market_structure_and_regime_identification; backtesting_and_strategy_validation,expert sources only,N/A,N/A,Official companion to CMT program per publisher/O'Reilly description,"More rigorous, evidence-aware TA reference than many retail TA books",https://www.oreilly.com/library/view/technical-analysis-the/9780132599580/; https://www.pearson.com/en-au/subject-catalog/p/technical-analysis-the-complete-resource-for-financial-market-technicians/P200000000373/9780134137162,already_annotated,Skip for now unless doing audit/review.,42,Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",1.000,yes,google_books,9780134137162,yes,14,Existing annotations found in annotations_v1.csv.
45,Evidence-Based Technical Analysis,David Aronson,2006,technical_analysis_and_market_structure,backtesting_and_strategy_validation; momentum_and_technical_indicators; strategy_design_and_rule_definition; probabilistic_thinking_and_uncertainty,Goodreads,3.66,154,Specialist evidence-based TA text,Important because it teaches how to test signals instead of just naming indicators,https://www.goodreads.com/en/book/show/203967.Evidence_Based_Technical_Analysis; https://www.cxoadvisory.com/technical-trading/evidence-based-technical-analysis-applying-the-scientific-method-and-statistical-inference-to-trading-signals-chapter-by-chapter-review/,already_annotated,Skip for now unless doing audit/review.,429,Evidence-Based Technical Analysis,David Aronson,1.000,yes,audit_must_include,9781118160589,yes,6,Existing annotations found in annotations_v1.csv.
46,Trading and Exchanges: Market Microstructure for Practitioners,Larry Harris,2002,market_foundations,exchanges_brokers_and_market_infrastructure; order_types_and_execution_mechanics; liquidity_and_market_depth; price_formation_and_market_efficiency; market_participants_and_incentives,expert sources only,N/A,N/A,Oxford University Press; market microstructure classic,"Critical for market mechanics, order books, liquidity, spreads, and execution logic",https://global.oup.com/academic/product/trading-and-exchanges-9780195144703; https://books.google.com/books/about/Trading_and_Exchanges.html?id=t-TQCwAAQBAJ,already_annotated,Skip for now unless doing audit/review.,424,Trading and Exchanges,Larry Harris,1.000,yes,audit_must_include,9780199726547,yes,6,Existing annotations found in annotations_v1.csv.
