book,author,concept_slug,status,pred_strength,truth_strength,rationale
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",position_sizing,FN,,1.0,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",liquidity_and_market_depth,FN,,0.5,
Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk,"Richard C. Grinold, Ronald N. Kahn",intrinsic_value_estimation,FN,,0.5,
All About Asset Allocation,Richard Ferri,emotional_discipline,FN,,1.0,
All About Asset Allocation,Richard Ferri,passive_vs_active_portfolio_management,FN,,0.5,
All About Asset Allocation,Richard Ferri,inflation_and_purchasing_power,FN,,0.5,
All About Asset Allocation,Richard Ferri,time_horizon_and_goal_based_investing,FN,,1.0,
Market Microstructure in Practice,"Charles-Albert Lehalle, Sophie Laruelle",strategy_design_and_rule_definition,FN,,0.5,
The Four Pillars of Investing,William J. Bernstein,passive_vs_active_portfolio_management,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,portfolio_rebalancing,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,price_formation_and_market_efficiency,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,diversification,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,time_horizon_and_goal_based_investing,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,cognitive_biases,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,asset_classes_and_financial_instruments,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,overtrading_and_impulse_control,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,risk_return_tradeoff,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,process_oriented_decision_making,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,market_participants_and_incentives,FN,,1.0,
The Four Pillars of Investing,William J. Bernstein,asset_allocation,FN,,1.0,
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",price_formation_and_market_efficiency,FP,0.5,,"It presents academic evidence for and against technical analysis, relating to market efficiency."
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",business_cycles_and_market_cycles,FN,,1.0,
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",risk_reward_and_expectancy,FN,,1.0,
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",asset_classes_and_financial_instruments,FN,,0.5,
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",volume_analysis,FN,,1.0,
Technical Analysis,"Charles D. Kirkpatrick II, Julie R. Dahlquist",position_sizing,FN,,1.0,
Systematic Trading,Robert Carver,asset_classes_and_financial_instruments,FP,0.5,,"The framework is applied across equities, bonds, forex and commodities."
Systematic Trading,Robert Carver,system_iteration_and_continuous_improvement,FP,0.5,,It covers adapting trading rules and strategies depending on costs and market conditions.
Systematic Trading,Robert Carver,risk_reward_and_expectancy,FP,0.5,,It addresses being realistic about likely returns and avoiding excessive risk in strategy design.
Systematic Trading,Robert Carver,emotional_discipline,FN,,1.0,
Systematic Trading,Robert Carver,leverage_and_margin_risk,FN,,0.5,
Systematic Trading,Robert Carver,journaling_and_performance_review,FN,,0.5,
Systematic Trading,Robert Carver,risk_return_tradeoff,FN,,1.0,
Systematic Trading,Robert Carver,stop_loss_and_exit_rules,FN,,0.5,
Systematic Trading,Robert Carver,asset_allocation,FN,,1.0,
Mastering Value Investing,Peter Benedikt,emotional_discipline,FP,1.0,,The book teaches staying cool during market swings and avoiding rash decisions.
Mastering Value Investing,Peter Benedikt,cognitive_biases,FP,0.5,,It discusses spotting psychological traps when making investment decisions.
Mastering Value Investing,Peter Benedikt,margin_of_safety,FP,1.0,,The book explicitly teaches Graham's 'margin of safety' principle as a key concept.
Mastering Value Investing,Peter Benedikt,time_horizon_and_goal_based_investing,FP,0.5,,Emphasizes long-run wealth building and sustainable growth for life rather than quick wins.
Mastering Value Investing,Peter Benedikt,intrinsic_value_estimation,FP,1.0,,It covers discovering a company's real worth and intrinsic value beyond market noise.
Lords of Finance,Liaquat Ahamed,market_participants_and_incentives,FN,,0.5,
Lords of Finance,Liaquat Ahamed,inflation_and_purchasing_power,FN,,1.0,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",exposure_and_concentration_limits,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",business_quality_and_competitive_advantage,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",risk_reward_and_expectancy,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",earnings_growth_and_profitability_drivers,FN,,1.0,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",price_formation_and_market_efficiency,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",market_participants_and_incentives,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",credit_debt_and_financial_crises,FN,,1.0,
This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff",economic_indicators_and_data_interpretation,FN,,1.0,
This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff",cognitive_biases,FN,,0.5,
This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff",interest_rates_and_monetary_policy,FN,,0.5,
One Up On Wall Street,Peter Lynch,business_cycles_and_market_cycles,FP,0.5,,Lynch provides guidelines for investing in cyclical and turnaround companies tied to economic cycles.
One Up On Wall Street,Peter Lynch,emotional_discipline,FN,,0.5,
One Up On Wall Street,Peter Lynch,stop_loss_and_exit_rules,FN,,0.5,
One Up On Wall Street,Peter Lynch,risk_return_tradeoff,FN,,0.5,
One Up On Wall Street,Peter Lynch,process_oriented_decision_making,FN,,1.0,
The New Sell and Sell Short,Alexander Elder,asset_classes_and_financial_instruments,FP,0.5,,"Offers guidance for traders of stocks, financial futures, commodities, and currencies."
The New Sell and Sell Short,Alexander Elder,execution_quality_and_trade_implementation,FP,0.5,,Shows how to manage positions by adjusting exit points as a trade unfolds and scaling out.
The New Sell and Sell Short,Alexander Elder,chart_patterns_and_price_action,FP,0.5,,Includes 17 chart studies and approaches selling from a technical angle showing stock weakness.
The New Sell and Sell Short,Alexander Elder,trend_analysis,FN,,1.0,
The New Sell and Sell Short,Alexander Elder,support_and_resistance,FN,,1.0,
The New Sell and Sell Short,Alexander Elder,strategy_design_and_rule_definition,FN,,1.0,
The New Sell and Sell Short,Alexander Elder,risk_reward_and_expectancy,FN,,1.0,
Pioneering Portfolio Management,David F. Swensen,market_participants_and_incentives,FP,0.5,,Swensen discusses selecting advisors and the world of institutional funds management and its actors.
Pioneering Portfolio Management,David F. Swensen,journaling_and_performance_review,FN,,1.0,
Pioneering Portfolio Management,David F. Swensen,process_oriented_decision_making,FN,,1.0,
Pioneering Portfolio Management,David F. Swensen,time_horizon_and_goal_based_investing,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",exposure_and_concentration_limits,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",leverage_and_margin_risk,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",volume_analysis,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",stop_loss_and_exit_rules,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",momentum_and_technical_indicators,FN,,0.5,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",trade_planning_and_preparation,FN,,1.0,
Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",drawdown_management,FN,,0.5,
A Random Walk Down Wall Street,Burton Gordon Malkiel,asset_classes_and_financial_instruments,FP,0.5,,"The guide surveys stocks, bonds, and other investment vehicles available to investors."
A Random Walk Down Wall Street,Burton Gordon Malkiel,loss_aversion_and_drawdown_psychology,FN,,1.0,
A Random Walk Down Wall Street,Burton Gordon Malkiel,portfolio_rebalancing,FN,,1.0,
A Random Walk Down Wall Street,Burton Gordon Malkiel,overtrading_and_impulse_control,FN,,1.0,
A Random Walk Down Wall Street,Burton Gordon Malkiel,time_horizon_and_goal_based_investing,FN,,1.0,
A Random Walk Down Wall Street,Burton Gordon Malkiel,risk_return_tradeoff,FN,,1.0,
Valuation,"McKinsey & Company Inc., Tim Koller, Marc Goedhart, David Wessels",leverage_and_margin_risk,FN,,0.5,
Valuation,"McKinsey & Company Inc., Tim Koller, Marc Goedhart, David Wessels",risk_return_tradeoff,FN,,1.0,
Valuation,"McKinsey & Company Inc., Tim Koller, Marc Goedhart, David Wessels",currency_and_global_macro_forces,FN,,0.5,
The Little Book That Builds Wealth,Pat Dorsey,margin_of_safety,FN,,1.0,
The Little Book That Builds Wealth,Pat Dorsey,financial_statement_analysis,FN,,1.0,
The Little Book That Builds Wealth,Pat Dorsey,valuation_multiples_and_relative_valuation,FN,,1.0,
Asset Allocation: Balancing Financial Risk,Roger C. Gibson,emotional_discipline,FN,,0.5,
Asset Allocation: Balancing Financial Risk,Roger C. Gibson,asset_classes_and_financial_instruments,FN,,1.0,
Asset Allocation: Balancing Financial Risk,Roger C. Gibson,time_horizon_and_goal_based_investing,FN,,1.0,
Common Stocks and Uncommon Profits,Philip A. Fisher,emotional_discipline,FN,,1.0,
Common Stocks and Uncommon Profits,Philip A. Fisher,business_cycles_and_market_cycles,FN,,0.3,
Common Stocks and Uncommon Profits,Philip A. Fisher,risk_reward_and_expectancy,FN,,0.5,
Common Stocks and Uncommon Profits,Philip A. Fisher,price_formation_and_market_efficiency,FN,,0.5,
Common Stocks and Uncommon Profits,Philip A. Fisher,diversification,FN,,0.5,
Common Stocks and Uncommon Profits,Philip A. Fisher,time_horizon_and_goal_based_investing,FN,,1.0,
Common Stocks and Uncommon Profits,Philip A. Fisher,valuation_multiples_and_relative_valuation,FN,,0.5,
Common Stocks and Uncommon Profits,Philip A. Fisher,process_oriented_decision_making,FN,,1.0,
Common Stocks and Uncommon Profits,Philip A. Fisher,financial_statement_analysis,FN,,0.5,
The Intelligent Investor,Benjamin Graham,business_quality_and_competitive_advantage,FP,0.5,,"The book covers evaluating sound, durable businesses for defensive investors."
The Intelligent Investor,Benjamin Graham,price_formation_and_market_efficiency,FP,0.5,,The book discusses how market prices diverge from underlying value through investor behavior.
The Intelligent Investor,Benjamin Graham,cognitive_biases,FP,0.5,,Graham warns against speculation and crowd-driven thinking errors in investing.
The Intelligent Investor,Benjamin Graham,diversification,FN,,1.0,
The Intelligent Investor,Benjamin Graham,inflation_and_purchasing_power,FN,,1.0,
The Intelligent Investor,Benjamin Graham,time_horizon_and_goal_based_investing,FN,,0.5,
The Intelligent Investor,Benjamin Graham,process_oriented_decision_making,FN,,1.0,
The Intelligent Investor,Benjamin Graham,asset_allocation,FN,,1.0,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),price_formation_and_market_efficiency,FN,,0.5,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),strategy_design_and_rule_definition,FN,,1.0,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),backtesting_and_strategy_validation,FN,,0.5,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),asset_classes_and_financial_instruments,FN,,0.5,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),risk_return_tradeoff,FN,,0.5,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),market_participants_and_incentives,FN,,0.5,
Algorithmic Trading & DMA,Barry Johnson (analiza finansowa),trade_planning_and_preparation,FN,,1.0,
Fooled by Randomness,Nassim Nicholas Taleb,price_formation_and_market_efficiency,FP,0.5,,It uses markets and traders' performance as the primary illustration of how randomness shapes perceived skill and outcomes.
Fooled by Randomness,Nassim Nicholas Taleb,emotional_discipline,FN,,0.5,
Fooled by Randomness,Nassim Nicholas Taleb,process_oriented_decision_making,FN,,0.5,
Fooled by Randomness,Nassim Nicholas Taleb,risk_reward_and_expectancy,FN,,1.0,
Investment Valuation,Aswath Damodaran,leverage_and_margin_risk,FN,,0.5,
Investment Valuation,Aswath Damodaran,interest_rates_and_monetary_policy,FN,,0.5,
Investment Valuation,Aswath Damodaran,probabilistic_thinking_and_uncertainty,FN,,1.0,
Investment Valuation,Aswath Damodaran,price_formation_and_market_efficiency,FN,,1.0,
Investment Valuation,Aswath Damodaran,asset_classes_and_financial_instruments,FN,,1.0,
Investment Valuation,Aswath Damodaran,risk_return_tradeoff,FN,,1.0,
Investment Valuation,Aswath Damodaran,credit_debt_and_financial_crises,FN,,0.5,
Financial Shenanigans,"Howard M. Schilit, Yoni Engelhart, Jeremy Perler",earnings_growth_and_profitability_drivers,FN,,1.0,
Financial Shenanigans,"Howard M. Schilit, Yoni Engelhart, Jeremy Perler",process_oriented_decision_making,FN,,0.5,
Against the Gods,Peter L. Bernstein,loss_aversion_and_drawdown_psychology,FN,,0.5,
Against the Gods,Peter L. Bernstein,risk_reward_and_expectancy,FN,,1.0,
Against the Gods,Peter L. Bernstein,diversification,FN,,1.0,
Against the Gods,Peter L. Bernstein,cognitive_biases,FN,,1.0,
Against the Gods,Peter L. Bernstein,risk_return_tradeoff,FN,,1.0,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",business_quality_and_competitive_advantage,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",earnings_growth_and_profitability_drivers,FN,,1.0,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",asset_classes_and_financial_instruments,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",valuation_multiples_and_relative_valuation,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",credit_debt_and_financial_crises,FN,,0.5,
Quantitative Trading,Ernie Chan,leverage_and_margin_risk,FN,,1.0,
Quantitative Trading,Ernie Chan,market_structure_and_regime_identification,FN,,0.5,
Quantitative Trading,Ernie Chan,system_iteration_and_continuous_improvement,FN,,0.5,
Quantitative Trading,Ernie Chan,stop_loss_and_exit_rules,FN,,0.5,
Quantitative Trading,Ernie Chan,position_sizing,FN,,1.0,
Quantitative Trading,Ernie Chan,process_oriented_decision_making,FN,,0.5,
Quantitative Trading,Ernie Chan,drawdown_management,FN,,0.5,
You Can Be a Stock Market Genius,Joel Greenblatt,business_quality_and_competitive_advantage,FP,0.5,,Evaluating spin-offs and restructurings involves assessing the quality of the underlying businesses.
You Can Be a Stock Market Genius,Joel Greenblatt,leverage_and_margin_risk,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,risk_reward_and_expectancy,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,price_formation_and_market_efficiency,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,strategy_design_and_rule_definition,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,diversification,FN,,0.5,
You Can Be a Stock Market Genius,Joel Greenblatt,asset_classes_and_financial_instruments,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,credit_debt_and_financial_crises,FN,,1.0,
You Can Be a Stock Market Genius,Joel Greenblatt,trade_planning_and_preparation,FN,,0.5,
"Thinking, Fast and Slow",Daniel Kahneman,loss_aversion_and_drawdown_psychology,FN,,1.0,
"Thinking, Fast and Slow",Daniel Kahneman,risk_reward_and_expectancy,FN,,0.5,
The Little Book of Common Sense Investing,John C. Bogle,earnings_growth_and_profitability_drivers,FP,0.5,,"Bogle explains stock returns come from dividend yield, earnings growth, and valuation change to set rational return expectations."
The Little Book of Common Sense Investing,John C. Bogle,risk_return_tradeoff,FN,,1.0,
The Little Book of Common Sense Investing,John C. Bogle,process_oriented_decision_making,FN,,1.0,
The Little Book of Common Sense Investing,John C. Bogle,overtrading_and_impulse_control,FN,,1.0,
Market Wizards,Jack D. Schwager,risk_reward_and_expectancy,FP,0.5,,Successful traders interviewed repeatedly emphasize managing risk relative to reward as central to long-run profitability.
Market Wizards,Jack D. Schwager,probabilistic_thinking_and_uncertainty,FN,,1.0,
Market Wizards,Jack D. Schwager,strategy_design_and_rule_definition,FN,,1.0,
Market Wizards,Jack D. Schwager,system_iteration_and_continuous_improvement,FN,,1.0,
Market Wizards,Jack D. Schwager,stop_loss_and_exit_rules,FN,,1.0,
Market Wizards,Jack D. Schwager,position_sizing,FN,,1.0,
Market Wizards,Jack D. Schwager,trade_planning_and_preparation,FN,,1.0,
The Essays of Warren Buffett,Warren Buffett,emotional_discipline,FP,0.5,,"Buffett stresses temperament, patience, and avoiding fear and greed in markets."
The Essays of Warren Buffett,Warren Buffett,leverage_and_margin_risk,FN,,0.5,
The Essays of Warren Buffett,Warren Buffett,passive_vs_active_portfolio_management,FN,,0.5,
The Essays of Warren Buffett,Warren Buffett,time_horizon_and_goal_based_investing,FN,,0.5,
The Essays of Warren Buffett,Warren Buffett,asset_classes_and_financial_instruments,FN,,0.5,
The Essays of Warren Buffett,Warren Buffett,risk_return_tradeoff,FN,,1.0,
Japanese Candlestick Charting Techniques,Steve Nison,drawdown_management,FP,0.5,,The updated edition places greater spotlight on capital preservation.
Japanese Candlestick Charting Techniques,Steve Nison,volume_analysis,FN,,1.0,
Japanese Candlestick Charting Techniques,Steve Nison,trade_planning_and_preparation,FN,,0.5,
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",drawdown_management,FP,0.5,,The book includes an extended discussion of risk management aimed at mitigating permanent loss of capital.
