google_volume_id,title,author,concept_slug,strength,rationale,annotation_type,model,created_at
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,asset_allocation,0.5,The barbell portfolio strategy — allocating capital to two extremes (very safe and very high-risk assets) while avoiding the middle — is explicitly taught as an antifragile approach to capital distribution.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
rkOUnAEACAAJ,Antifragile,Nassim Nicholas Taleb,credit_debt_and_financial_crises,0.5,"Taleb uses the 2008 financial crisis and systemic leverage as key examples of fragile systems, discussing how debt cycles and over-suppression of volatility lead to catastrophic collapses.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:22:41.513199+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,cognitive_biases,1.0,"The book devotes multiple chapters to systematic thinking errors—confirmation bias, the narrative fallacy, the Ludic fallacy, hindsight bias, and the problem of silent evidence—making this a central, recurring theme throughout.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,probabilistic_thinking_and_uncertainty,1.0,"The entire book is built around the argument that the world is shaped by radical uncertainty and fat-tailed randomness (Extremistan vs. Mediocristan), and that humans must reason probabilistically rather than in false certainties.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,emotional_discipline,0.5,"Taleb addresses how human psychology leads people to over-simplify, narrate, and react emotionally to randomness, though this is secondary to the epistemological and statistical arguments.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,risk_return_tradeoff,0.5,"The 'On Robustness and Fragility' section and discussions of Black Swan exposure implicitly address asymmetric risk and the mispricing of tail risk, though not through formal portfolio theory.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,drawdown_management,0.5,"The second-edition essay on robustness and fragility offers practical guidance on constructing strategies that can survive rare, catastrophic events, which is substantively about capital preservation under extreme tail risk.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
GSBcQVd3MqYC,The Black Swan: Second Edition,Nassim Nicholas Taleb,price_formation_and_market_efficiency,0.5,"Taleb critiques the Gaussian/bell-curve assumptions underpinning standard finance and market efficiency theory, arguing that extreme events are systematically underpriced and ignored by markets.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:02.964558+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,exchanges_brokers_and_market_infrastructure,1.0,Multiple reviewers highlight that the book gives the clearest account of how trading desks and inter-dealer brokers actually function inside a major bank like Citigroup.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,market_participants_and_incentives,1.0,"The book extensively portrays the cast of bank traders, inter-dealer brokers, and institutional actors and the perverse incentive structures that drive their behaviour.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,currency_and_global_macro_forces,1.0,Stevenson was an FX trader whose entire career centred on currency markets and macro bets on interest rates and capital flows in the post-2008 global environment.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,interest_rates_and_monetary_policy,1.0,"His core trading thesis — that interest rates would remain near zero indefinitely due to structural inequality — is a recurring, substantive thread throughout the book.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,credit_debt_and_financial_crises,0.5,"The 2008 financial crisis and its aftermath form the backdrop of Stevenson's career, with discussion of how debt and systemic risk shaped the macro environment he traded.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,emotional_discipline,0.5,"The book documents Stevenson's psychological deterioration under trading stress, including burnout, sleeplessness, and the emotional cost of high-stakes finance.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
jOLBEAAAQBAJ,The Trading Game,Gary Stevenson,business_cycles_and_market_cycles,0.5,The post-crisis low-rate macro regime and its persistence — defying classical economics — is discussed as the structural environment Stevenson profited from.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:23:29.650882+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,business_cycles_and_market_cycles,1.0,"The Austrian Business Cycle Theory is a central pillar of the book; Spitznagel dedicates the final chapters to understanding how credit-driven boom-bust cycles create investment opportunities, using the forest/fire metaphor throughout.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,interest_rates_and_monetary_policy,1.0,"Spitznagel explicitly argues that central bank interest rate suppression creates monetary distortions that inflate equity prices and set up future market crashes, which he calls his 'bread and butter.'",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,price_formation_and_market_efficiency,1.0,"The book directly challenges the efficient market hypothesis, arguing markets are distorted by monetary intervention and thus systematically mispriced, making non-randomness of market routs a core thesis.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,valuation_multiples_and_relative_valuation,1.0,"Spitznagel uses the MS index and Tobin's Q ratio as key tools to identify when overall market valuations are dangerously inflated due to monetary distortion, a practical technique detailed in the investing chapters.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,intrinsic_value_estimation,0.5,"The book advises building an equity portfolio using a version of Greenblatt's Magic Formula to find highly productive, undervalued assets, implying a value-based approach to individual stock selection.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,margin_of_safety,0.5,The 'roundabout' philosophy of waiting for advantageous positional entry before committing capital is directly analogous to and explicitly connected with the margin-of-safety principle of buying at a discount.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,credit_debt_and_financial_crises,1.0,The book's Austrian framework centers on how credit expansion and debt cycles produce boom-bust dynamics and financial crises; Spitznagel's tail-hedging career is built around profiting from these inevitable busts.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,probabilistic_thinking_and_uncertainty,0.5,"Spitznagel, working alongside Nassim Taleb, frames market crashes as non-random fat-tail events and builds his entire investment methodology around positioning for low-probability, high-magnitude outcomes.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,risk_reward_and_expectancy,0.5,"The tail-hedge portfolio construction (99.5% S&P index, 0.5% in deep OTM puts) is an explicit lesson in asymmetric risk-reward and positive convexity as described in the book's practical investing chapters.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,asset_allocation,0.5,The book prescribes a specific portfolio structure—a productive equity core combined with a small tail-hedge allocation—as a practical application of Austrian investing principles.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,emotional_discipline,0.5,Spitznagel extensively discusses the psychological difficulty of the 'roundabout' approach—tolerating short-term losses and resisting the urge to chase immediate gains—as a core challenge for investors.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
fYdRAAAAQBAJ,The Dao of Capital,Mark Spitznagel,drawdown_management,0.5,"Surviving and even profiting from extreme market drawdowns via tail-hedging is a practical outcome of the book's strategy, with Spitznagel citing his 2000 and 2008 performances as proof of concept.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:06.513410+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,emotional_discipline,1.0,"A dedicated 'Psychology of Trading' section and recurring emphasis across all interviews on controlling fear, greed, and emotional reactions make this a major theme throughout the book.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,process_oriented_decision_making,1.0,"Across every interview, Schwager surfaces the common thread that elite traders follow systematic rules and repeatable processes rather than intuition or short-term outcomes, making process-over-outcome a central lesson.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,position_sizing,1.0,"Multiple traders explicitly discuss position sizing as a core risk-management technique, and reviews consistently identify it as one of the book's most repeatedly taught practical concepts.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,stop_loss_and_exit_rules,1.0,"Cutting losses quickly is one of the most universally stressed lessons across all interviewed traders, with stop-loss discipline described as foundational to long-term survival.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,drawdown_management,1.0,Surviving losing streaks and never letting a single loss wipe out capital is a recurring theme; traders discuss knowing when to stop trading and how to preserve capital during adverse periods.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,loss_aversion_and_drawdown_psychology,1.0,"The book profiles traders who blew up accounts by refusing to cut losses due to pride and emotional commitment, making the psychology of loss a major recurring subject.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,risk_reward_and_expectancy,1.0,"Traders discuss favorable risk-reward ratios and probabilistic thinking about trade outcomes as central to their edge, with expectancy framed as more important than win rate alone.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,overtrading_and_impulse_control,0.5,"The book profiles traders who blew up from compulsive overtrading and warns against chasing trades or overriding systems, making impulse control a real but secondary theme.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,strategy_design_and_rule_definition,0.5,"Several traders, including those from the Turtle Trading experiment, discuss building explicit, rules-based trading frameworks, though the book does not teach strategy design as a standalone methodology.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,probabilistic_thinking_and_uncertainty,0.5,"Some traders — particularly quantitative and options-focused ones like Blair Hull — discuss probability and mathematical expectancy, though it is secondary to the psychological and risk-management themes.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,trend_analysis,0.5,"Multiple traders are trend-followers who discuss identifying and riding market trends using moving averages and chart patterns, though technical methodology is secondary to mindset and risk lessons.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,asset_classes_and_financial_instruments,0.5,"The book spans currencies, commodity futures, stock options, and mutual funds across different trader profiles, providing broad exposure to instrument types as a secondary contextual layer.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
_zR1tMbpKMsC,The New Market Wizards,Jack D. Schwager,market_participants_and_incentives,0.5,"Interviews span discretionary traders, systematic funds, options market makers, and currency traders, giving readers secondary insight into how different types of professionals operate and what drives their behavior.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:24:39.177821+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,asset_classes_and_financial_instruments,0.5,"Reviewers note Rogers covers commodities vs. other asset types as a recurring topic, including energy, agriculture, and real goods as future-dominant asset classes.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,price_formation_and_market_efficiency,0.5,A Goodreads reviewer highlights Rogers's discussion of how supply and demand actually works — high prices eventually create supply — as a substantive teaching point in the book.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,business_cycles_and_market_cycles,0.5,"Reviewers note Rogers takes a historical view of societal and market cycles, discussing booms, busts, and the long-term rotation of economic power across geographies.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,credit_debt_and_financial_crises,1.0,"Multiple reviews confirm that several chapters are devoted to the dangers of US national debt, bad debt, Keynesian monetary expansion, and the critique of Greenspan and Bernanke's crisis-era policies.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,currency_and_global_macro_forces,1.0,"The book's latter half centers on the irreversible global shift of money and power to Asia, US/EU decline, and geopolitical macro forces — described by multiple reviewers as the book's central thesis.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,interest_rates_and_monetary_policy,0.5,"Chapter Eight explicitly critiques the Fed's monetary policy, naming Greenspan and Bernanke, and arguing that money printing and low rates will end badly.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,inflation_and_purchasing_power,0.5,Rogers argues real assets like commodities in food and energy will outperform as fiat currency credibility is undermined by government debt and monetary expansion.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,cognitive_biases,0.5,"The book stresses the importance of doubt, skepticism, and independent research as the foundation of good investing, implicitly addressing herd thinking and conventional wisdom as cognitive traps.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
5YP_IemEPHcC,Street Smarts,Jim Rogers,market_participants_and_incentives,0.5,"Rogers discusses Wall Street incentives, the role of hedge funds, short sellers, and the behavior of legislators, lobbyists, and central bankers as actors shaping market outcomes.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:06.378684+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,volume_analysis,1.0,Volume Price Analysis (VPA) is the entire thesis of the book — every chapter is built around interpreting volume relative to price to confirm or question market moves.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,chart_patterns_and_price_action,1.0,A dedicated portion of the book covers reading candlestick patterns and candle combinations through the lens of volume to validate price action.,manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,support_and_resistance,1.0,"Chapter Seven is explicitly titled 'Support And Resistance Explained,' and the book uses volume confirmation to validate bounces and breaks at these levels.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,trend_analysis,1.0,"Chapter Eight is dedicated to 'Dynamic Trends And Trend Lines,' teaching how volume confirms trend direction and exhaustion.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,market_structure_and_regime_identification,0.5,"The book addresses accumulation, distribution, and congestion phases as breeding grounds for trends, which maps to regime and cycle identification within the VPA framework.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,market_participants_and_incentives,0.5,"Coulling frames VPA through the lens of 'smart money,' market makers, and institutional insiders whose activity is revealed through volume — understanding their incentives is a recurring secondary theme.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,position_sizing,0.5,"Coulling distinguishes financial risk managed through position sizing as one of two key risk types, making it a real but secondary topic.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,stop_loss_and_exit_rules,0.5,"Coulling recommends using natural market barriers informed by VPA as stop placement points, making stop-loss placement a secondary but genuine topic.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Anna Coulling,emotional_discipline,0.5,"By focusing on objective volume-price patterns, the book explicitly frames VPA as a method to eliminate emotional and gut-based trading decisions.",manual_grounded,claude-sonnet-4-6,2026-06-13T02:25:27.565781+00:00
